fdn-teaser-headline,fdn-teaser-subheadline,fdn-event-teaser-location-link,fdn-inline-split-list,uk-text-muted,fdn-event-teaser-price,fdn-teaser-tag-link,fdn-teaser-description
Tuesday Night Bingo at St. Ursula Church,"Tuesdays, 7 p.m.",St. Ursula Church,"3945 Kirk Ave., Allison Park",Allison Park,$20 admission,Fundraisers,"Weekly Tuesday night bingo in the social hall at St. Ursula Church. Admission is $20; many different side games also available. Weekly $500 jackpot. Refreshments available for purchase.
          
        
          
            (412) 417-0678"
Geeks Who Drink Pub Quiz,"Tuesdays, 7-9 p.m.",Alida's Woodfired Cucina,"3345 Penn Ave Suite 200, Pittsburgh",Lawrenceville,,Other Stuff,"Not your father's Oldsmobile (or trivia).

Think we're just trivia?  Think again.  Join us every Tuesday with your team (up to 6 people).  Free to play, bar gift certificates and other prizes awarded.
          
        
          
            (412) 742-4495"
Community Yoga,"Tuesdays, Thursdays, 7-8 p.m.",Thrive on Health,"730 Brookline Boulevard, PIttsburgh",Brookline,$5,Exercise,"Join us for $5 community yoga classes every Tuesday and Thursday at 7PM in our lower level studio!
          
        
          
            412-714-6620"
Sonny’s Stuff’d Mic,"Tuesdays, 7:30-9:30 p.m.",Sonny’s Tavern,"630 S. Millvale Ave., Pittsburgh",Bloomfield,FREE!,Comedy,"This variety open mic is the spot to try out something new. It’s a small room where everyone is engaged & excited to see new material, with more time allotted than most open mics (8 min for comics/poets/misc. performers & 2 songs for musicians). Message Rachel Sohl or Liz Tripoli on FB for more info. HEADS UP! This is on old skool venue, so smoking is permitted & it’s cash only. Geeked to see you there…
          
        
          
            4126835844"
Steamworks Sessions,"Tuesdays, 7:30-10 p.m.",STEAMWORKS CREATIVE,"4967 ROUTE 8 SUITE 6, GIBSONIA",Gibsonia,,Open Stage,"Steamworks Sessions Every Tuesday Night
7:30 pm – 10pm Hosted by Mary Lou Scherder
Featured Artist & Open Stage.
          
        
          
            4122133206"
Sonny’s Stuff’d Mic,"Tuesdays, 8 p.m.-1 a.m.",Sonny's Tavern,"630 S. Millvale Ave., Pittsburgh",Bloomfield,Free,Open Stage,"Sonny’s Stuff’d Mic Open Stage -
Comedy, Music, Mixed Media, Art, Etc. - Sign Up at 7:30 - One Winner Each Week
          
        
          
            412-683-5844"
Steel City Trivia Night,"Tuesdays, 8-10 p.m.",Good Time Bar & Grille,"1304 Walters Avenue, Pittsburgh",Millvale,,Trivia,"Tacos & Trivia! $1 Taco night, and the finest in pub trivia brought to you by Steel City Trivia! Put together a team, come on out for some delicious tacos, and try to win a Good Time Bar & Grille gift card.
          
        
          
            (412) 408-3238"
A Night of Jazz,"Tuesdays, 8-11 p.m.",Blend Bar with Davidoff Cigars,"436 Seventh Avenue, Pittsburgh",Downtown,No Cover,Jazz,"Join us this and every Tuesday for live jazz, cigar giveaways and exclusive drinks.  The Blend House Band will perform from 9-12 in our luxurious lounge. Jazz and cigars are the perfect combination, all we need now is you!  21+ and no cover
          
        
          
            4129044764"
Hot Metal Blues,"Tuesdays, 8-11 p.m.",Lot 17,"4617 Liberty Avenue, Pittsburgh",Bloomfield,Free,Dance,"Come on out to Lot 17 in Bloomfield on Tuesday nights to learn how to Blues dance!
What is Blues dancing you ask?
Dancing to Blues music is an informal, relaxed form of dance with no basic footwork focusing on the feeling and rhythms in the music.

Schedule
Lesson: 8-9
Social dancing: 9-11
          
        
          
            412-687-8117"
Service Industry Tuesdays w/ DJ Red,"Tuesdays, 10 p.m.-2 a.m.",The Goldmark,"4517 Butler St, Pittsburgh",Lawrenceville,Free,DJs,"Service Industry Brethren Unite!  Every Tuesday Night is Pittsburgh's Best Service Industry Night @ The Goldmark in Lawrenceville w/ DJ Red and special guests.  Doors at 8pm.  DJ Red at 10pm. No Cover & Cheap Drinks.
          
        
          
            412-688-8820"
Diamonds & Dust,"Tuesdays, 10 p.m.-2 a.m.",Poetry Lounge,"313 North Ave., Pittsburgh",Millvale,FREE,DJs,"Spinning 60s garage, soul, psych, funk, blues, R n' B, and blue-eyed soul
          
        
          
            4123374403"
Pete Butta,"Tuesdays, 10 p.m.",The Goldmark,"4517 Butler St, Pittsburgh",Lawrenceville,,DJs,"Reggae & dancehall.
          
        
          
            412-688-8820"
The Church and America’s Divisions,"Wednesdays, 12-1 p.m.",Trinity Cathedral,"328 Sixth St., Pittsburgh",Downtown,free,Politics,"People on all sides of the various divisions in American public discourse agree that the tone of this discourse has reached a dangerous and unacceptable level of rancor. Yet no one seems able to suggest any way of reducing it.

Christianity has something to say about this, and for the next few weeks Bishop Dorsey McConnell and the Rev. Dr Philip Wainwright will lead a public discussion that will explore ways in which the church might be able to help restore basic courtesy to the debate.

Admission is free, and those attending are welcome to bring coffee and/or lunch.
          
        
          
            412-232-6404"
Wednesday Morning Walk,Wednesdays,Beechwood Farms,"614 Dorseyville Road, Fox Chapel",Fox Chapel,,Outside,"Naturalist-led, rain or shine.
          
        
          
            412-963-6100"
Let's Speak English,"Wednesdays, 5-6 p.m.","Carnegie Library, Oakland","4400 Forbes Avenue, Pittsburgh",Oakland,Free,Other Stuff,"If English is not your native language, join our group for lively English conversation. Let’s Speak English meets in Classroom A every Wednesday (EXCEPT for July 4 and November 21).

These classes are FREE.
You do not have to register for the classes.
You do not need to bring anything or buy anything.
New participants are welcome at any time.
This class is for adults, but young people are welcome as long as they behave respectfully.
          
        
          
            412.622.3151"
Pittsburgh TubClub,"Wednesdays, 6:30-9:30 p.m.",Brady Memorial Home,"1151 South Side Ave, Pittsburgh",North Side,$15-$30 ($11-$22 sale price before Sunday at 11:59pm,Community,"One of Pittsburgh’s premiere contrast therapy communities. We offer breathwork, cold plunging, sauna, and community.
          
        
          
            716-499-3352"
Wednesday Night Trivia,"Wednesdays, 6:30-8:30 p.m.",Forbes Tavern,"310 Forbes Ave, Pittsburgh",Downtown,Free,Trivia,"Free to play trivia at the Forbes Tavern, two 1-hour games with prizes for top finishing teams. Starts at 6:30pm
          
        
          
            412-281-1999"
Rhythm & Movement,"Wednesdays, Fridays, 6:30-7:30 p.m.",Level Up Dance PGH,"4836 Penn Ave, Pgh",Garfield,$10 per class - $35 for 4 classes - $70 for 8 classes,Dance,"Having fun, getting in shape, while using dance as a form of exercise.  Moving and grooving to various rhythms using various dance forms to exercise our bodies, release our tension and enjoy each other.
          
        
          
            412-450-8093"
Perry D  Acoustic Open Mic Night,"Wednesdays, 7-11 p.m.",,,,Free,Open Stage,"Perry D is a One Man Band that opens the floor to all. He brings all equipment,  you simply need to enjoy the show. All are welcome to show off their talents, as well.
          
        
          
            412-716-4009"
Name That Tune Wednesdays,"Wednesdays, 7-9 p.m.",Lawrenceville Distilling Co,"5410 Harrison Street, Pittsburgh",Lawrenceville,FREE,Trivia,"Bring your friends and play against other teams in a musical trivia game curated and hosted by Kaylie and Erin! Top team wins amazing prizes every week!
          
        
          
            412.945.0845"
Jason Born Live @ Wheelfish every Wed,"Wednesdays, 7-10 p.m.",Wheelfish,"635 Sangree Rd, Pittsburgh",Ross,Free,Blues,"Jason Born is a guitarist, singer/songwriter and harmonica player from Pittsburgh, PA specializing in blues, rock and soul music.  He was chosen as the Blues Society of Western Pennsylvania's Youth Representative in which he was featured in Memphis, TN during the International Blues Challenge held in January 2015.  He performs every Wednesday at Wheelfish from 7-10pm.
          
        
          
            412-487-8909"
College Night,"Wednesdays, 8-11 p.m.",Topgolf,"400 Presto-Sygan Road, Bridgeville",Bridgeville,15,Sports,"You want unlimited game play, discounted food & drinks, and some space just for college students? You got it! A $15 cover gets you all that and more every Wednesday from 8-11 pm during College Night.
          
        
          
            erin.burry@topgolf.com"
Wednesday Night Pizza Party,"Wednesdays, 8 p.m.",Pizza Taglio,"126 S. Highland Ave., Pittsburgh",East Liberty,,Electronic,
Synchronized: with Soy Sos,"Wednesdays, 8-10 p.m.",,,,,DJs,"GENERAL PROGRAM DESCRIPTION

Most Wednesdays, 8:00pm - 10:00pm ET
Watch on YouTube LIVE at Pittsburgh Modular Synthesizers

Join Soy Sos and musical guests for an intimate, immersive sound experience with modular synths, electronics, and a mix of traditional instruments! Using synchronization-based ensembles, Soy Sos collaborates with contemporary sound artists to create live, improvised sound-scapes. Come for the vibes, sound discussions, and dance.

Synchronized: with Soy Sos is in collaboration with Pittsburgh Modular Synthesizers and is presented as part of the PearlArts @ KST Mutual Aid Residency.
          
        
          
            412-456-6666"
Topgolf College Nights,"Wednesdays, 8-11 p.m.",Topgolf,"400 Presto-Sygan Road, Bridgeville",Bridgeville,$15,Sports,"You want unlimited game play, discounted food & drinks, and some space just for college students? You got it! A $15 cover gets you all that and more every Wednesday from 8-11 pm during College Night. 
Students 18+ welcome. Must be 21+ to order alcohol. Student ID required.
          
        
          
            erin.burry@topgolf.com"
Pittsburgh Banjo Club,"Wednesdays, 8 p.m.",Allegheny Elks Lodge #339,"400 Cedar Ave., Pittsburgh",North Side,,Other Music,412-321-1834
Son Tav Triv - Trivia Night!,"Wednesdays, 9-11 p.m.",Sonny's Tavern,"630 S. Millvale Ave., Pittsburgh",Bloomfield,Free,Other Stuff,"Compete on teams of 4 or less for cash and prizes!
          
        
          
            412-683-5844"
Comedy Open Mic,"Wednesdays, 9-11 p.m.",Nico's Recovery Room,"178 Pearl St., Pittsburgh",Bloomfield,Free,Comedy,"Hosted by Alex Stypula.
          
        
          
            412-681-9562"
Sonny’s Tavern Trivia with PAM,"Wednesdays, 9:30-11 p.m.",Sonny's Tavern,"630 S. Millvale Ave., Pittsburgh",Bloomfield,Free,Trivia,"Let Pam pick your feeble brain for traces of trivia! Covering categories from “1-Star IMDB Reviews” and “TV Sitcom Theme Lyrics” to the ubiquitous “Mystery Round” and the bonafide PAMILY FEUD, this trivia night offers more than the same old buzz-shit. 1st Place: $30 Sonny’s $$$ 2nd Place: $15 Sonny’s $$$, 3rd Place: mYsTeRy PrIzE!
          
        
          
            412-683-5844"
RayJack,"Wednesdays, 10 p.m.-2 a.m.",Tom's Diner/Vasta Lounge,"2937 West Liberty Ave., Dormont",Dormont,free,DJs,412-531-2350
DJ RayJack,"Wednesdays, 10 p.m.-2 a.m.",Tom's Diner/Vasta Lounge,"2937 West Liberty Ave., Dormont",Dormont,No Cover,DJs,"DJ
          
        
          
            412-531-2350"
Punk Rock N Roll Night w DJ Todd Cheat,"Wednesdays, 10-11:30 p.m.",Poetry Lounge,"313 North Ave., Pittsburgh",Millvale,FREE,DJs,"Wild and raucous punk rock & roll DJ Todd Cheat
          
        
          
            4123374403"
Wednesday Night Karaoke w/ DJ WEAVEZ!,"Wednesdays, 10 p.m.-2 a.m.",941 Saloon,"941 Liberty Avenue, Pittsburgh",Downtown,NO COVER,Open Stage,412-281-5222
Stand Up Comedy Open Mic,"Wednesdays, 10:30 p.m.-2 a.m.",Scarpaci's Place,"309 Shiloh St., Pittsburgh",Mt. Washington,Free,Comedy,412-431-9908
Book 'n Beer Night,"Thursdays, 6-10 a.m.",Amazing Books & Records,"5430 Walnut Street, Pittsburgh",Shadyside,free,Literary,"Enjoy a free cold beer or n/a sparkling water while you browse Pittsburgh's biggest and best selection of used books and record amidst other book and music lovers. Always get a free used book or record, priced up to $10, with every 3 items that you buy.
          
        
          
            412-471-1899"
Thursday Adult Nature Walk,"Thursdays, 10 a.m.-12 p.m.",North Park,"Pearce Mill Rd., Allison Park",Allison Park,,Outside,"Free & open to ages 18 & older. Meets rain or shine every Thursday of the year. Naturalists guide these walks. Park and meet at the Ice Skating Rink parking lot off Kummer Road.
          
        
          
            724-935-1766"
Maude Movie Night,Thursdays,,,,FREE,Community,"Maude Movie Nights are part of our ongoing effort to create community space for LGBTQIA+ witches. But also ANYONE who is a friend of a queer witch is welcome. ♥ (and we mean that in a figurative way. Come MAKE a queer witch friend if you don't have one already. We don't bite!)
Our weekly themes:  
Week 1: something magical and cute
Week 2: LGBTQIA+ themed
Week 3: something magical and cute
Week 4:  Wild card movie! Anything goes! Could be spooky, could be spaceballs. 
Week 5: Documentary (probably about magic or LQBTQIA+/social justice"
International Women's Association of Pittsburgh,Thursdays,First United Methodist Church Pittsburgh,"5401 Centre Ave, Pittsburgh",Shadyside,,Other Stuff,"Social, cultural club of American/international women.
          
        
          
            412-421-6108"
Assemble Thursday Afterschool Program,"Thursdays, 4-5:30 p.m.",,,,Free,Kidstuff,"Virtual Assemble is a STEAM (Science, Technology, Engineering, Art, & Math) centered digital hangout and material kit. Join Assemble teachers after school from 4:00pm-5:30pm in this weekly after school program. Each week students explore the dynamic world of STEAM through hands-on activities and dreaming up creative inventions together. Virtual Assemble after school sessions also include special visits from local artists, makers, and technologists who share their passion and talents with the group.
          
        
          
            412-661-6111"
Rich Zabinski Trio,"Every other Thursday, 5:30-8:30 p.m.",Sullivan's Steakhouse,"Grant St., Pittsburgh",Downtown,,Jazz,"Live Jazz with the Rich Zabinski Trio, featuring Max Leake on keyboards, Chris McGraw on bass, and Rich on drums.  Sullivan's is located on the ground floor of the US Steel building.  Free validated parking in the garage under the Steel building.
          
        
          
            412-775-4000"
Depression Bipolar Support Group,"Thursdays, 6 p.m.",C.C. Mellor Memorial Library,"One Pennwood Ave., Edgewood",Edgewood,,Other Stuff,412-708-9423
"412 cubed, Paint Shutter Word / the NEIGHBORHOOD","Thursdays-Saturdays, 12-8 p.m.",Spinning Plate Gallery,"5821 Baum Boulevard, Pittsburgh",Downtown,Free,Exhibits,"A cross pollination of photographs, paintings and writing, all about the NEIGHBORHOOD, what it looks like, feels like, sounds like; what memories we hold, what stories we have to tell each other. A collaborative experiment by
4 Photographers, 4 Painters and 2 Writers.  Inviting the viewer into a conversation on the diversity and texture  of Pittsburgh Neighborhoods.
We look forward to you sharing your memories with us as well as the exhibitors invite you in to the conversation.
          
        
          
            831-809-9307"
Rich Zabinski Jazz Trio and Jam Session,"Every other Thursday, 7-10 p.m.",Brickshop in the Tryp Hotel,"177 40th Street,, Pittsburgh",Lawrenceville,,Jazz,"Join Rich, Howie Alexander (keyboards) and Leon Boykins (bass) for a night of live jazz.  Jazz musicians and vocalists are encouraged to come join in on the fun.
          
        
          
            412.687.8797"
Bellevue Open Mic,"Thursdays, 7-10 p.m.",Pizza Station,"501 Lincoln Ave, Bellevue",Bellevue,Free,Open Stage,"All ages Open Mic night

Thursday’s 7pm-10pm

Hip hop, spoken word, acoustic, poetry, stand up

Hosted by Apostropheus
          
        
          
            412-766-7676"
Thursday Trivia Night,"Thursdays, 7 p.m.",Lawrenceville Distilling Co,"5410 Harrison Street, Pittsburgh",Lawrenceville,FREE,Trivia,"Join us Thursday nights for cocktails, food from Blacksheep BBQ and trivia! Teams of up to 4 people compete for cool prizes. 21+
          
        
          
            412-945-0845"
Live! at Kingfly Spirits,"Thursdays, 7-10 p.m.",Kingfly Spirits,"2613 Smallman St., Pittsburgh",Strip District,10.00 cover,Jazz,"Join us at the distillery for our weekly jazz night, ""Live! at Kingfly Spirits"". 

We host the best jazz musicians in Pittsburgh with a new rotation every Thursday. 
Visit our website or Socials to see who is performing next.

At Kingfly Distillery, we are excited to support local arts and jazz initiatives and consider our venue to be one of the city’s rising destinations for ongoing Jazz programming. 
Live! at Kingfly will take place each Thursday from 7-10pm, unless noted otherwise on our website or social media.  

There is a $10 cover for this event."
Yoga at CMOA,"Thursdays, 7-8 p.m.",Carnegie Museum of Art,"4400 Forbes Avenue, Pittsburgh",Oakland,Drop-in: $10; $8 for members; $5 for students,Exercise,"Museums are places for renewal, celebrating the great accomplishments of fellow humans. Join a crew of fellow humans for a weekly, rejuvenating yoga session set in Pittsburgh’s most beautiful spaces! Instructor Stefanie Zito emphasizes stretching and relaxation for an energizing boost headed into the weekend.

Sessions take place Thursdays from 7:00 to 8:00 p.m. Class sessions are open to all levels and to ages 18 and over. Please bring a mat. All classes are drop-in; no online pre-registration is available. A 10-class pass can be purchased at the door for $75, $50 for members and students.
          
        
          
            412-622-3131"
Live! at Kingfly Spirits,"Thursdays, 7-10 p.m.",Kingfly Spirits,"2613 Smallman St., Pittsburgh",Strip District,10.00 cover,Jazz,"Join us at the distillery for our weekly Jazz Night: “Live! at Kingfly Spirits”  as we welcome a rotation of the best jazz musicians in Pittsburgh.  
Visit our website or socials to see who will be performing next. 
-------------------
At Kingfly Distillery, we are excited to support local arts and jazz initiatives and consider our venue to be one of the city’s rising destinations for ongoing Jazz programming. Live! at Kingfly will take place each Thursday from 7-10pm, unless noted otherwise on our website or social media.  

There is a $10 cover for this event."
Wightman Ballroom,"Thursdays, 7:30-11 p.m.",Wightman School,"5604 Solway, Pittsburgh",Squirrel Hill,$10,Other Stuff,"Brian Lee's ballroom dance every Thursday in the third floor ballroom/gym of the Wightman School Community Building. Lesson at 7:30; social dancing starts 8:15-8:30.
          
        
          
            724-351-0219"
Smash-Up Improv Jam,"Thursdays, 7:30-9:30 p.m.",First Unitarian Church,"605 Morewood Avenue, Pittsburgh",Shadyside,Free,Comedy,"Downstairs at the Unitarian Church at 605 Morewood Avenue. A community night for improvisers of all skill levels! Jump on stage and perform improvised scenes and sets. Performances by some of our amazing local improv teams will precede the jam. Scheduled Maintenance, Birth Quake, and Penny Pressed are all scheduled to appear! Donations appreciated to support the venue and make this possible!
          
        
          
            412-621-8008"
The Bo'Hog Brothers,"Thursdays, 8-11 p.m.",O'Donna's,"523 Virginia Ave, Rochester",Beaver,,Blues,878-313-3418
Dorthy 6 Cafe w/ TC,"Thursdays, 8-11 p.m.",Dorothy Six Blast Furnace Cafe,"224 E 8th Ave., Pittsburgh",Homestead,$5.00 Donation,Open Stage,"Dorthy 6 Thursday Jazz/Funk Surgery Jam
Tony Campbell - Sax
Victor Garzatto - Keyboards
Miles Jackson - Bass
Andy Kirk - Drums
          
        
          
            412-464-9023"
Electric Open Stage,"Thursdays, 8 p.m.",Moondog's,"378 Freeport Road, Blawnox",Blawnox,,Open Stage,412-828-2040
Con Alma Announces Roger Humphries’ Thursday Night Residency,"Thursdays, 8-11 p.m.",Con Alma,"5884 Ellsworth Ave., Pittsburgh",Shadyside,5,Jazz,"Con Alma is excited to announce a new Thursday night residency beginning on November 14. Drumming legend Roger Humphries, whom Horace Silver once described as “one of my best drummers”, will take the Con Alma stage every Thursday from 8:00PM-11:00PM. 

Perhaps most famous for his work with Horace Silver, Dr. Humphries is also renowned for his collaborations with the late guitarist Jimmy Ponder and bassist Dwayne Dolphin. Dr. Humphries will be joined by the RH Factor, an all-Pittsburgh musical cast handpicked by the drummer himself.
          
        
          
            412-363-5316"
Team Trivia,"Thursdays, 8-10 p.m.",Bigham Tavern,"321 Bigham St., Pittsburgh",Mt. Washington,Free,Trivia,"Come test your skills on Thursdays during Team Trivia at Bigham Tavern! Prizes awarded for first, second, and third place teams. Bonus points awarded for most creative team name! Please call ahead for reservations #gobighamorgohome
          
        
          
            412-431-9313"
Pittsburgh's Best Comedy Open Mic,"Thursdays, 8:30-11:59 p.m.",,"4207 butler st, pgh",Lawrenceville,Free,Comedy,"Comedy open mic. Sign ups at 8:30. Show starts at 9:00. Order of comics subject to change.
          
        
          
            412-848-6730"
Latin Thursdays,"Thursdays, 9 p.m.-1 a.m.",Crossbody Dance and Movement,"422 Wood Street, PITTSBURGH",Downtown,$`0,Dance,"Come out & enjoy the perfect mix of Salsa, Bachata, Kizomba & Zouk! IYKYK
Lesson at 9pm
Dancing 9:30 until 1am!
          
        
          
            4122590336"
DJ Bobby D,"Thursdays, 9:30 p.m.-3 a.m.",Perle Champagne Bar,"25 Market Square, Pittsburgh",Downtown,FREE,DJs,"free bachata lessons.
          
        
          
            412-471-2058"
Salsa Night,"Thursdays, 9:30 p.m.-2 a.m.",Perle Champagne Bar,"25 Market Square, Pittsburgh",Downtown,,Other Stuff,"Free dancing lessons w/ host & instructor DJ Bobby D from 9:30-10 p.m.
          
        
          
            412-471-2058"
"#collegenight 18 to Party, 21 to Drink at Scenario Nightclub","Thursdays, 10 p.m.-2 a.m.",Scenario,"1005 E. Carson St., Pittsburgh",Allentown,$10,DJs,"Every Thursday night is Pittsburgh's biggest 18 & over #collegenight at Scenario Nightclub, hosted by Party Nation.  18 to party, 21 to drink.  $10 cover.
          
        
          
            412-586-4118"
Bobby D Bachata,"Thursdays, 10 p.m.",Perle Champagne Bar,"25 Market Square, Pittsburgh",Downtown,,DJs,412-471-2058
Community Acupuncture Clinic,"Fridays, 10 a.m.-2 p.m.",Yoga Factory Pittsburgh,"3418 Penn Ave., Pittsburgh",Lawrenceville,$25,Other Stuff,"Yoga Factory is proud to host Dr. Typer Phan every Friday for a Community Acupuncture Clinic. He is a 5th generation acupuncturist conducting open Acupuncture sessions from 10am-2pm at Yoga Factory every Friday! No appointment necessary, just show up and start healing! $25 per person.
          
        
          
            412-513-5000"
Tugboat Printshop Showroom,Fridays,Tugboat Print Shop,"298 Main St, Pittsburgh",Lawrenceville,,Visual Art,"Open showroom w/ the artists. By appt. only.
          
        
          
            412-980-0884"
Pinball Perfection,"Fridays, Saturdays",Pinball Perfection,"231 Perry Hwy, West View",West View,,Exhibits,"Pinball museum & players club.
          
        
          
            412-931-4425"
West Overton Barn & Museum,"Fridays, Saturdays",West Overton Barn & Museum,"109 West Overton Road, Scottdale",Etna,,Exhibits,"Learn about distilling & coke-making in this pre-Civil War industrial village.
          
        
          
            724-887-7910"
Christine Marie Plays with a Full Deck,"Fridays, 4-8 p.m.",Sparkle Dragon's Magical Emporium,"2120 Broadway Ave, Beechview",Beechview,25,Community,"20 years experience, Christine reads your Tarot, Handwriting, and Astrology Charts LIVE. Peruse the wares. There's something for everyone at Sparkle Dragon's Magical Emporium
          
        
          
            412-508-3393"
Lazarus Live! Shag on the Walls 👍,"Fridays, 4-9:30 p.m.",shoham zober,"1808 Brownsville road, Pittsburgh",Carrick,,Acoustic,"Jam session, open mic and conversation salon 👍

Free music, free books, free water  🤯

Pearl Drum kit and acoustic piano on stage!
          
        
          
            4124131840"
Singer/Songwriter Series,"Fridays, 5-7 p.m.",J. Gough's Tavern,"4213 Murray Ave, Pittsburgh",Greenfield,Free,Other Music,"Singer/Songwriter Series
          
        
          
            4123157029"
"Daryl Shawn, live every Friday at Backstage Bar with no cover","Fridays, 5-7:30 p.m.",Backstage Bar at Theatre Square,"655 Penn Avenue, Pittsburgh",Downtown,FREE,Acoustic,"Every Friday, solo guitarist Daryl Shawn plays at Backstage Bar in downtown Pittsburgh, right across the street from Heinz Hall, from 5 to 7:30 pm. There's no cover charge, the drinks are top-notch, and the music is very chill.

Shawn plays a huge variety of instrumental music, taking a unique improvisational approach to everything from modern indie-pop tunes to classic jazz to classic rock, plus his own upbeat originals with a flamenco twist. He has released five albums of music and has performed all across North America.
          
        
          
            412-456-2621"
Psychic night at the Christine Frechard Gallery,"Fridays, 5-9 p.m.",Christine Frechard Gallery,"5126 Butler st., Pittsburgh",Lawrenceville,$1 - 1 minute  ( minimum 15 min.),Other Stuff,"Every Friday night, 3 different Readers with different Reading styles will be at the Christine Frechard gallery, as well as a massage therapist ( chair massage)
Most readings are based on  $ 1 - 1 min  ( 15 min. minimum) except astrology  readings, $0 for 15 min.
Walk-ins are welcome or  
email christinefrechardgallery@gmail.com - 
call 724 766 0104 to schedule ahead.
          
        
          
            724 766 0104"
"""Throwback Therapy"" Friday Happy Hour","Fridays, 6-9 p.m.",The Goldmark,"4517 Butler St, Pittsburgh",Lawrenceville,Free,DJs,"Every Friday, The Goldmark hosts the ""Throwback Therapy"" Happy Hour party from 6pm-9pm featuring Pittsburgh's best DJs playing 80's, 90's & 00's.

Also featuring...
*Weekly Rotating Craft Cocktail Menu
*Outdoor Patio (weather permitting)
*Local Breweries On Tap
*Frozen Cocktails
*No Cover
          
        
          
            412-688-8820"
The Unplanned Comedy Warehouse,"Fridays, 8 p.m.",Unplanned Comedy Warehouse,"5601Butler Street 2nd Floor, Pittsburgh",Lawrenceville,$10,Comedy,"Improv, Stand-up, Sketch Comedy and Hop Farm Brewery all available in sunny Upper-Lawrenceville.
          
        
          
            412-212-7061"
Todd and Dale,"Fridays, 8:30-10:30 p.m.",Bar 3 Millvale,"217 North Ave., Millvale",Millvale,FREE,Acoustic,412-408-3870
80s Night w/ DJ Connor,"Fridays, 9 p.m.",Rugger's Pub,"40 South 22nd Street, Pittsburgh",South Side,,DJs,412-381-1330
Punk Night,"Fridays, 10 p.m.-2:30 a.m.",Dee's Cafe,"1316 E. Carson St., Pittsburgh",South Side,No Cover,DJs,412-431-1314
Pete Butta,"Fridays, 10 p.m.-2 a.m.",The Flats on Carson,"1500 E. Carson St., Pittsburgh",South Side,Free,DJs,412-586-7644
Friday Nights w/ DJ Midas,"Fridays, 10 p.m.-2 a.m.",The Goldmark,"4517 Butler St, Pittsburgh",Lawrenceville,Free Before 10pm - $5 After 10pm,DJs,"Every Friday night DJ Midas takes over the DJ booth at The Goldmark for one of the wildest parties in the city.  Expect to hear everything from the latest hits to throwbacks from previous eras, mixed up by one of Pittsburgh's best DJs.  Dancing shoes required.
          
        
          
            412-688-8820"
Top 40 Dance,"Fridays, Saturdays, 10 p.m.",,,,,DJs,
"Saturday Night Reader, Shadyside!","Saturdays, 7-10 a.m.",Amazing Books & Records,"5430 Walnut Street, Pittsburgh",Shadyside,free,Food & Drink Event,"Enjoy a free beer or n/a sparkling water while you browse Pittsburgh's largest and best selection of used books and records together, alongside other book and music lovers. Always get a free used book or record, priced up to $10, with every 3 items that you buy.
          
        
          
            412-471-1899"
Beginner Tai Chi Classes,"Saturdays, 9 a.m.",Friends Meeting House,"4836 Ellsworth Ave., Pittsburgh",Oakland,,Other Stuff,412-683-2669
Saturday morning kids art class,"Saturdays, 10-11 a.m.",Uncle Dave's Art Studio,"4135 Leechburg Rd, Pittsburgh",New Kensington,,Kidstuff,"🎨 Calling all budding young artists! Let your child's creativity soar with our exciting kids art class 🌟 They'll get to paint their very own masterpiece on an 8x10 canvas using high-quality acrylic paint 🎉 All supplies are included, so all they need to bring is their imagination! Don't miss out on this opportunity to inspire and nurture their artistic talents. Sign up today! 🎉
          
        
          
            18783023095"
Sahaja Meditation,"Saturdays, 11 a.m.-12 p.m.","Carnegie Library, Allegheny","1230 Federal St., Pittsburgh",North Side,free of charge,Other Stuff,"Sahaja Meditation is a simple method that lets you tap into the natural energy lying deep within you. Learn to use the power of your own inner energy to neutralize stress, get back into balance, improve your physical, mental, and emotional health, and realize true inner peace and joy. You can do it anywhere and anytime, it costs nothing and is available to all people regardless of our nationality, race, faith, or age. Find us on our Pittsburgh Sahaja Meditation Meetup group.
          
        
          
            412-961-3529"
Drop-In Beginner Knitting & Knitting Help,"Saturdays, 12-4 p.m.",Steel City Fiber Collective,"5817 Ellsworth Avenue, PITTSBURGH",Shadyside,$20/$10,Other Stuff,"Always wanted to learn to knit? We'll get you started. We even Include needles and yarn.

Already know how to knit, but are stuck in your project?  We'll happily help get you through it.
          
        
          
            412-362-7222"
Wigle Whiskey Barrelhouse Tours,"Saturdays, 12:30 & 2 p.m.",Wigle Whiskey Barrel House,"1055 Spring Garden Ave., Pittsburgh",North Side,,Other Stuff,412-224-2827
South Hills Scrabble Club,"Saturdays, 1-3 p.m.",Mount Lebanon Public Library,"16 Castle Shannon Boulevard, Mt. Lebanon",Mt. Lebanon,,Other Stuff,"Free Scrabble games, all levels.
          
        
          
            412-531-1912"
Saturday Salsa for Beginners,"Saturdays, 1:30-2:30 p.m.",Crossbody Dance and Movement,"422 Wood Street, PITTSBURGH",Downtown,$15,Dance,"If you have NEVER danced salsa before, or have very little experience dancing salsa, this is where you start.
Even if you think you have two left feet… we will get you dancing!
          
        
          
            4122590336"
Kerr Memorial Museum,Saturdays,Kerr Memorial Museum,"402 Delaware Avenue, Oakmont",Oakmont,,Exhibits,"Tours of a restored 19th-century, middle-class home.
          
        
          
            412-826-9295"
